session,species,var,SVC_tl,SVC_abundance
146,stoplight parrotfish,3,4,2.5
146,striped parrotfish,3,5,10
146,yellow chub,3,32,6.5
146,yellowtail snapper,3,10,6.5
146,bar jack,3,9,4.5
146,masked goby,3,3,5
146,bluehead wrasse,4,9.5,2
146,redband parrotfish,4,7.5,1.25
146,stoplight parrotfish,4,5.5,0.25
146,striped parrotfish,4,7.5,4
146,yellow chub,4,36,2.25
146,yellowtail snapper,4,11,2.25
146,bar jack,4,11.5,1.25
146,masked goby,4,3.5,1.5
146,white grunt,5,20,1
146,blue tang,5,20,1
146,atlantic spadefish,5,32,1
146,bluestriped grunt,5,24,1
146,bicolor damselfish,5,6,1
146,bluehead wrasse,5,12,1
146,redband parrotfish,5,11,1
146,stoplight parrotfish,5,7,1
146,striped parrotfish,5,10,1
146,yellow chub,5,40,1
146,yellowtail snapper,5,12,1
146,bar jack,5,14,1
146,masked goby,5,4,1
147,blue tang,1,11,1
147,doctorfish,1,20,1
147,clown wrasse,1,7,1
147,greenblotch parrotfish,1,5,1
147,ocean surgeonfish,1,13,1
147,reef butterflyfish,1,9,1
147,yellowhead wrasse,1,4,1
147,trumpetfish,1,17,1
147,blue chromis,1,8,1
147,bluelip parrotfish,1,4,1
147,striped parrotfish,1,7,1
147,sharpnose puffer,1,3,1
147,bicolor damselfish,1,4,1
147,bluehead wrasse,1,4,1
147,redband parrotfish,1,4,1
147,princess parrotfish,1,5,1
147,masked goby,1,3,1
147,atlantic spadefish,1,30,1
147,creole wrasse,1,5,1
147,sharpnose puffer,2,3.5,0.25
147,bicolor damselfish,2,5,9
147,bluehead wrasse,2,5,6.5
147,redband parrotfish,2,5.5,1
147,princess parrotfish,2,8.5,0.5
147,masked goby,2,3.5,1.5
147,atlantic spadefish,2,32.5,4
147,creole wrasse,2,6.5,24
147,porkfish,3,33,1
147,white grunt,3,15,1
147,french grunt,3,13,1
147,graysby,3,18,1
147,hogfish,3,40,1
147,foureye butterflyfish,3,7,1
147,brown chromis,3,11,1
147,gray angelfish,3,35,1
147,bandtail puffer,3,10,1
147,queen angelfish,3,38,1
147,rock beauty,3,11,1
147,butter hamlet,3,9,1
147,stoplight parrotfish,3,30,1
147,harlequin bass,3,6,1
147,slender filefish,3,5,1
147,french angelfish,3,30,1
147,spotted goatfish,3,15,1
147,mutton snapper,3,40,1
147,scrawled filefish,3,50,1
147,blue parrotfish,3,65,1
147,yellowhead wrasse,3,7,2
147,trumpetfish,3,20,2
147,blue chromis,3,10,2
147,bluelip parrotfish,3,5,2
147,striped parrotfish,3,12,2
147,sharpnose puffer,3,4,2.5
147,bicolor damselfish,3,6,20
147,bluehead wrasse,3,6,15
147,redband parrotfish,3,7,4
147,princess parrotfish,3,12,3
147,masked goby,3,4,5
147,atlantic spadefish,3,35,10
147,creole wrasse,3,8,50
147,sharpnose puffer,4,5,0.25
147,bicolor damselfish,4,8,9
147,bluehead wrasse,4,8,6.5
147,redband parrotfish,4,16.5,1
147,princess parrotfish,4,22.5,0.5
147,masked goby,4,4.5,1.5
147,atlantic spadefish,4,37.5,4
147,creole wrasse,4,10,24
147,blue tang,5,15,1
147,doctorfish,5,22,1
147,clown wrasse,5,15,1
147,greenblotch parrotfish,5,8,1
147,ocean surgeonfish,5,17,1
147,reef butterflyfish,5,11,1
147,yellowhead wrasse,5,15,1
147,trumpetfish,5,40,1
147,blue chromis,5,13,1
147,bluelip parrotfish,5,7,1
147,striped parrotfish,5,25,1
147,sharpnose puffer,5,6,1
147,bicolor damselfish,5,10,1
147,bluehead wrasse,5,10,1
147,redband parrotfish,5,26,1
147,princess parrotfish,5,33,1
147,masked goby,5,5,1
147,atlantic spadefish,5,40,1
147,creole wrasse,5,12,1
148,spanish hogfish,1,2,1
148,sharpnose puffer,1,3,1
148,graysby,1,8,1
148,blue tang,1,11,1
148,reef butterflyfish,1,10,1
148,doctorfish,1,15,1
148,blue dartfish,1,8,1
148,yellowhead wrasse,1,7,1
148,squirrelfish,1,27,1
148,bluelip parrotfish,1,4,1
148,princess parrotfish,1,6,1
148,white grunt,1,25,1
148,bicolor damselfish,1,2,1
148,bluehead wrasse,1,3,1
148,redband parrotfish,1,6,1
148,blue chromis,1,7,1
148,masked goby,1,1,1
148,brown chromis,1,10,1
148,bicolor damselfish,2,3.5,17.75
148,bluehead wrasse,2,4.5,1.75
148,redband parrotfish,2,6.5,1.25
148,blue chromis,2,8.5,0.25
148,masked goby,2,1.5,20.25
148,brown chromis,2,10.5,0.25
148,harlequin bass,3,5,1
148,porkfish,3,29,1
148,smooth trunkfish,3,20,1
148,rock beauty,3,10,1
148,scrawled filefish,3,40,1
148,butter hamlet,3,8,1
148,spotted moray,3,70,1
148,cero,3,32,1
148,spotted goatfish,3,14,1
148,banded butterflyfish,3,16,1
148,creole wrasse,3,5,1
148,gray angelfish,3,40,1
148,yellowhead jawfish,3,8,1
148,striped parrotfish,3,8,1
148,puddingwife,3,48,1
148,blue angelfish,3,45,1
148,yellowhead wrasse,3,10,1
148,squirrelfish,3,27,1
148,bluelip parrotfish,3,5,1
148,princess parrotfish,3,7,2
148,white grunt,3,27,2
148,bicolor damselfish,3,5,37.5
148,bluehead wrasse,3,6,5.5
148,redband parrotfish,3,7,4.5
148,blue chromis,3,10,2.5
148,masked goby,3,2,42.5
148,brown chromis,3,11,2.5
148,bicolor damselfish,4,6,17.75
148,bluehead wrasse,4,9,1.75
148,redband parrotfish,4,15.5,1.25
148,blue chromis,4,11,0.25
148,masked goby,4,3,20.25
148,brown chromis,4,12,0.25
148,spanish hogfish,5,4,1
148,sharpnose puffer,5,5,1
148,graysby,5,15,1
148,blue tang,5,14,1
148,reef butterflyfish,5,10,1
148,doctorfish,5,18,1
148,blue dartfish,5,9,1
148,yellowhead wrasse,5,12,1
148,squirrelfish,5,32,1
148,bluelip parrotfish,5,6,1
148,princess parrotfish,5,30,1
148,white grunt,5,30,1
148,bicolor damselfish,5,7,1
148,bluehead wrasse,5,12,1
148,redband parrotfish,5,24,1
148,blue chromis,5,12,1
148,masked goby,5,4,1
148,brown chromis,5,13,1
149,sergeant major,1,5,1
149,bluehead wrasse,1,7,1
149,redband parrotfish,1,5,1
149,striped parrotfish,1,3,1
149,white grunt,1,10,1
149,redband parrotfish,2,7.5,0.5
149,striped parrotfish,2,5.5,2.75
149,white grunt,2,12,1
149,cocoa damselfish,3,8,1
149,slippery dick,3,9,1
149,yellowtail damselfish,3,13,1
149,blue tang,3,22,1
149,ocean surgeonfish,3,18,1
149,bandtail puffer,3,11,1
149,spotted moray,3,56,1
149,yellowhead wrasse,3,11,1
149,butter hamlet,3,7,1
149,bluehead wrasse,3,9,2
149,redband parrotfish,3,10,3
149,striped parrotfish,3,8,7.5
149,white grunt,3,14,4
149,redband parrotfish,4,11.5,0.5
149,striped parrotfish,4,16,2.75
149,white grunt,4,19.5,1
149,sergeant major,5,7,1
149,bluehead wrasse,5,12,1
149,redband parrotfish,5,13,1
149,striped parrotfish,5,24,1
149,white grunt,5,25,1
150,cocoa damselfish,1,5,1
150,ocean surgeonfish,1,16,1
150,blue tang,1,8,1
150,stoplight parrotfish,1,15,1
150,gray snapper,1,25,1
150,bar jack,1,10,1
150,redband parrotfish,1,3,1
150,striped parrotfish,1,4,1
150,gray snapper,2,25.5,0.75
150,bar jack,2,11,4
150,redband parrotfish,2,4.5,1
150,striped parrotfish,2,6,2
150,yellowtail snapper,3,13,1
150,clown wrasse,3,8,1
150,black hamlet,3,11,1
150,spotted moray,3,60,1
150,slippery dick,3,5,1
150,white grunt,3,6,1
150,butter hamlet,3,12,1
150,trumpetfish,3,45,1
150,gray snapper,3,26,3.5
150,bar jack,3,12,10
150,redband parrotfish,3,6,4
150,striped parrotfish,3,8,6
150,gray snapper,4,27,0.75
150,bar jack,4,13,4
150,redband parrotfish,4,9,1
150,striped parrotfish,4,12.5,2
150,cocoa damselfish,5,7,1
150,ocean surgeonfish,5,17,1
150,blue tang,5,14,1
150,stoplight parrotfish,5,22,1
150,gray snapper,5,28,1
150,bar jack,5,14,1
150,redband parrotfish,5,12,1
150,striped parrotfish,5,17,1
151,reef butterflyfish,1,12,1
151,foureye butterflyfish,1,9,1
151,spotted goatfish,1,20,1
151,stoplight parrotfish,1,26,1
151,sharpnose puffer,1,2,1
151,french angelfish,1,35,1
151,yellowhead wrasse,1,7,1
151,ocean surgeonfish,1,12,1
151,striped parrotfish,1,5,1
151,bluehead wrasse,1,3,1
151,bicolor damselfish,1,3,1
151,princess parrotfish,1,26,1
151,masked goby,1,2,1
151,redtail parrotfish,1,5,1
151,brown chromis,1,10,1
151,blue chromis,1,3,1
151,french grunt,1,10,1
151,creole wrasse,1,5,1
151,blue runner,1,25,1
151,bluehead wrasse,2,3,3
151,bicolor damselfish,2,3,1.5
151,princess parrotfish,2,27,0.5
151,masked goby,2,2,10.75
151,redtail parrotfish,2,10,0.75
151,brown chromis,2,10,2.75
151,blue chromis,2,3.5,3.75
151,french grunt,2,11,1.5
151,creole wrasse,2,5.5,6.75
151,blue runner,2,27.5,24
151,porkfish,3,23,1
151,queen parrotfish,3,29,1
151,rock beauty,3,9,1
151,butter hamlet,3,5,1
151,bridled goby,3,3,1
151,clown wrasse,3,8,1
151,tobaccofish,3,6,1
151,hogfish,3,24,1
151,greenblotch parrotfish,3,6,1
151,spanish hogfish,3,20,1
151,knobbed porgy,3,30,1
151,chub sp.,3,36,1
151,gray snapper,3,32,1
151,longsnout butterflyfish,3,7,1
151,spanish hogfish,3,17,1
151,yellowhead wrasse,3,10,1
151,ocean surgeonfish,3,14,2
151,striped parrotfish,3,5,2
151,bluehead wrasse,3,3,8
151,bicolor damselfish,3,3,5
151,princess parrotfish,3,28,3
151,masked goby,3,2,23.5
151,redtail parrotfish,3,15,3.5
151,brown chromis,3,10,7.5
151,blue chromis,3,4,9.5
151,french grunt,3,12,5
151,creole wrasse,3,6,15.5
151,blue runner,3,30,50
151,bluehead wrasse,4,4.5,3
151,bicolor damselfish,4,4,1.5
151,princess parrotfish,4,28,0.5
151,masked goby,4,2,10.75
151,redtail parrotfish,4,21,0.75
151,brown chromis,4,11,2.75
151,blue chromis,4,5.5,3.75
151,french grunt,4,12,1.5
151,creole wrasse,4,10,6.75
151,blue runner,4,31,24
151,reef butterflyfish,5,12,1
151,foureye butterflyfish,5,10,1
151,spotted goatfish,5,20,1
151,stoplight parrotfish,5,28,1
151,sharpnose puffer,5,5,1
151,french angelfish,5,38,1
151,yellowhead wrasse,5,12,1
151,ocean surgeonfish,5,25,1
151,striped parrotfish,5,10,1
151,bluehead wrasse,5,6,1
151,bicolor damselfish,5,5,1
151,princess parrotfish,5,28,1
151,masked goby,5,2,1
151,redtail parrotfish,5,27,1
151,brown chromis,5,12,1
151,blue chromis,5,7,1
151,french grunt,5,12,1
151,creole wrasse,5,14,1
151,blue runner,5,32,1
152,ocean surgeonfish,1,12,1
152,french grunt,1,16,1
152,blue tang,1,15,1
152,foureye butterflyfish,1,9,1
152,reef butterflyfish,1,8,1
152,gray angelfish,1,30,1
152,creole wrasse,1,15,1
152,rock beauty,1,12,1
152,princess parrotfish,1,5,1
152,graysby,1,6,1
152,colon goby,1,2,1
152,blue parrotfish,1,40,1
152,bluehead wrasse,1,3,1
152,blue chromis,1,8,1
152,bicolor damselfish,1,3,1
152,redband parrotfish,1,2,1
152,yellowhead wrasse,1,3,1
152,masked goby,1,2,1
152,striped parrotfish,1,6,1
152,blue runner,1,25,3
152,bluehead wrasse,2,4,6.75
152,blue chromis,2,8,1
152,bicolor damselfish,2,3.5,5
152,redband parrotfish,2,2.5,3.25
152,yellowhead wrasse,2,3.5,0.25
152,masked goby,2,2,2.25
152,striped parrotfish,2,6.5,1
152,blue runner,2,27.5,72
152,goldspot goby,3,3,1
152,spotted goatfish,3,20,1
152,barred hamlet,3,9,1
152,dusky damselfish,3,10,1
152,harlequin bass,3,6,1
152,white grunt,3,25,1
152,clown wrasse,3,8,1
152,sharpnose puffer,3,4,1
152,banded butterflyfish,3,13,1
152,rock beauty,3,19,1
152,princess parrotfish,3,21,1
152,graysby,3,12,1
152,colon goby,3,2,1
152,blue parrotfish,3,44,2
152,bluehead wrasse,3,5,15.5
152,blue chromis,3,8,4
152,bicolor damselfish,3,4,12
152,redband parrotfish,3,3,8.5
152,yellowhead wrasse,3,4,2.5
152,masked goby,3,2,6.5
152,striped parrotfish,3,7,4
152,blue runner,3,30,150
152,bluehead wrasse,4,6.5,6.75
152,blue chromis,4,8.5,1
152,bicolor damselfish,4,4.5,5
152,redband parrotfish,4,8.5,3.25
152,yellowhead wrasse,4,7,0.25
152,masked goby,4,2,2.25
152,striped parrotfish,4,15.5,1
152,blue runner,4,31,72
152,ocean surgeonfish,5,12,1
152,french grunt,5,17,1
152,blue tang,5,18,1
152,foureye butterflyfish,5,10,1
152,reef butterflyfish,5,9,1
152,gray angelfish,5,37,1
152,creole wrasse,5,15,1
152,rock beauty,5,24,1
152,princess parrotfish,5,31,1
152,graysby,5,23,1
152,colon goby,5,3,1
152,blue parrotfish,5,45,1
152,bluehead wrasse,5,8,1
152,blue chromis,5,9,1
152,bicolor damselfish,5,5,1
152,redband parrotfish,5,14,1
152,yellowhead wrasse,5,10,1
152,masked goby,5,2,1
152,striped parrotfish,5,24,1
152,blue runner,5,32,3
153,blue tang,1,13,1
153,cocoa damselfish,1,5,1
153,bicolor damselfish,1,4,1
153,white grunt,1,10,1
153,sharpnose puffer,1,4,1
153,yellowtail snapper,1,15,1
153,redband parrotfish,1,7,1
153,stoplight parrotfish,1,3,1
153,striped parrotfish,1,4,1
153,redband parrotfish,2,8.5,0.5
153,stoplight parrotfish,2,4.5,0.75
153,striped parrotfish,2,5.5,0.25
153,gray snapper,3,33,1
153,bluestriped grunt,3,25,1
153,butter hamlet,3,9,1
153,hogfish,3,25,1
153,ocean surgeonfish,3,14,1
153,tan hamlet,3,13,1
153,threespot damselfish,3,8,1
153,trumpetfish,3,35,1
153,black hamlet,3,12,1
153,cocoa damselfish,3,8,1
153,bicolor damselfish,3,5,1
153,white grunt,3,15,1
153,sharpnose puffer,3,5,1
153,yellowtail snapper,3,15,1
153,redband parrotfish,3,10,3
153,stoplight parrotfish,3,6,3.5
153,striped parrotfish,3,7,2.5
153,redband parrotfish,4,12.5,0.5
153,stoplight parrotfish,4,15.5,0.75
153,striped parrotfish,4,9.5,0.25
153,blue tang,5,15,1
153,cocoa damselfish,5,8,1
153,bicolor damselfish,5,6,1
153,white grunt,5,32,1
153,sharpnose puffer,5,6,1
153,yellowtail snapper,5,15,1
153,redband parrotfish,5,15,1
153,stoplight parrotfish,5,25,1
153,striped parrotfish,5,12,1
154,foureye butterflyfish,1,7,1
154,puddingwife,1,7,1
154,slippery dick,1,7,1
154,striped parrotfish,1,3,1
154,stoplight parrotfish,1,3,1
154,redband parrotfish,1,3,1
154,yellowtail snapper,1,8,1
154,striped parrotfish,2,4,6.5
154,stoplight parrotfish,2,4,0.5
154,redband parrotfish,2,3.5,0.75
154,yellowtail snapper,2,10,2.75
154,white grunt,3,11,1
154,bluehead wrasse,3,11,1
154,butter hamlet,3,10,1
154,bicolor damselfish,3,7,1
154,gray triggerfish,3,38,1
154,ocean surgeonfish,3,13,1
154,trumpetfish,3,59,1
154,gray angelfish,3,15,1
154,doctorfish,3,13,1
154,slippery dick,3,7,2
154,striped parrotfish,3,5,15
154,stoplight parrotfish,3,5,3
154,redband parrotfish,3,4,3.5
154,yellowtail snapper,3,12,7.5
154,striped parrotfish,4,7.5,6.5
154,stoplight parrotfish,4,10,0.5
154,redband parrotfish,4,8.5,0.75
154,yellowtail snapper,4,13.5,2.75
154,foureye butterflyfish,5,7,1
154,puddingwife,5,8,1
154,slippery dick,5,11,1
154,striped parrotfish,5,10,1
154,stoplight parrotfish,5,15,1
154,redband parrotfish,5,13,1
154,yellowtail snapper,5,15,1
155,striped parrotfish,1,4,1
155,yellowhead wrasse,1,4,1
155,foureye butterflyfish,1,7,1
155,reef butterflyfish,1,7,1
155,atlantic spadefish,1,25,1
155,bicolor damselfish,1,3,1
155,bluehead wrasse,1,4,1
155,redband parrotfish,1,3,1
155,greenblotch parrotfish,1,3,1
155,bar jack,1,14,1
155,bicolor damselfish,2,4,4.75
155,bluehead wrasse,2,5,5.25
155,redband parrotfish,2,4.5,5.5
155,greenblotch parrotfish,2,4,1.75
155,bar jack,2,15.5,8.75
155,harlequin bass,3,7,1
155,doctorfish,3,16,1
155,blue tang,3,13,1
155,banded butterflyfish,3,7,1
155,clown wrasse,3,6,1
155,stoplight parrotfish,3,30,1
155,spotfin butterflyfish,3,8,1
155,porkfish,3,30,1
155,scrawled filefish,3,50,1
155,smooth trunkfish,3,27,1
155,white grunt,3,20,1
155,graysby,3,15,1
155,queen angelfish,3,32,1
155,blue runner,3,15,1
155,french angelfish,3,35,1
155,sharpnose puffer,3,4,1
155,bicolor damselfish,3,5,11.5
155,bluehead wrasse,3,6,12.5
155,redband parrotfish,3,6,13
155,greenblotch parrotfish,3,5,5.5
155,bar jack,3,17,19.5
155,bicolor damselfish,4,6,4.75
155,bluehead wrasse,4,7,5.25
155,redband parrotfish,4,14,5.5
155,greenblotch parrotfish,4,6,1.75
155,bar jack,4,20,8.75
155,striped parrotfish,5,6,1
155,yellowhead wrasse,5,7,1
155,foureye butterflyfish,5,7,1
155,reef butterflyfish,5,8,1
155,atlantic spadefish,5,33,1
155,bicolor damselfish,5,7,1
155,bluehead wrasse,5,8,1
155,redband parrotfish,5,22,1
155,greenblotch parrotfish,5,7,1
155,bar jack,5,23,1
156,blue tang,1,13,1
156,foureye butterflyfish,1,7,1
156,spotfin butterflyfish,1,16,1
156,reef butterflyfish,1,7,1
156,brown chromis,1,6,1
156,sharpnose puffer,1,3,1
156,yellowhead wrasse,1,7,1
156,bicolor damselfish,1,3,1
156,greenblotch parrotfish,1,3,1
156,redband parrotfish,1,2,1
156,bluehead wrasse,1,3,1
156,blue chromis,1,4,1
156,striped parrotfish,1,5,1
156,masked goby,1,2,1
156,blue runner,1,20,1
156,creole wrasse,1,4,1.1
156,yellowhead wrasse,2,7,0.25
156,bicolor damselfish,2,4,11.75
156,greenblotch parrotfish,2,4,1.5
156,redband parrotfish,2,4,2.25
156,bluehead wrasse,2,4.5,4.5
156,blue chromis,2,5.5,5.5
156,striped parrotfish,2,6.5,2.75
156,masked goby,2,2.5,6.5
156,blue runner,2,22.5,0.25
156,creole wrasse,2,5,26.4
156,queen angelfish,3,35,1
156,cocoa damselfish,3,8,1
156,butter hamlet,3,10,1
156,stoplight parrotfish,3,10,1
156,black hamlet,3,10,1
156,ocean surgeonfish,3,15,1
156,cero,3,35,1
156,spotted goatfish,3,25,1
156,harlequin bass,3,7,1
156,rock beauty,3,10,1
156,french angelfish,3,45,1
156,graysby,3,10,1
156,squirrelfish,3,35,1
156,whitespotted filefish,3,6,1
156,spanish hogfish,3,15,1
156,scrawled filefish,3,48,1
156,bar jack,3,20,1
156,chalk bass,3,6,1
156,goldspot goby,3,4,1
156,brown chromis,3,7,1
156,sharpnose puffer,3,4,2
156,yellowhead wrasse,3,7,2.5
156,bicolor damselfish,3,5,25.5
156,greenblotch parrotfish,3,5,5
156,redband parrotfish,3,6,6.5
156,bluehead wrasse,3,6,11
156,blue chromis,3,7,13
156,striped parrotfish,3,8,7.5
156,masked goby,3,3,15
156,blue runner,3,25,2.5
156,creole wrasse,3,6,55
156,yellowhead wrasse,4,11,0.25
156,bicolor damselfish,4,6.5,11.75
156,greenblotch parrotfish,4,8.5,1.5
156,redband parrotfish,4,8.5,2.25
156,bluehead wrasse,4,9.5,4.5
156,blue chromis,4,8,5.5
156,striped parrotfish,4,15,2.75
156,masked goby,4,3.5,6.5
156,blue runner,4,25,0.25
156,creole wrasse,4,8,26.4
156,blue tang,5,15,1
156,foureye butterflyfish,5,9,1
156,spotfin butterflyfish,5,18,1
156,reef butterflyfish,5,10,1
156,brown chromis,5,8,1
156,sharpnose puffer,5,5,1
156,yellowhead wrasse,5,15,1
156,bicolor damselfish,5,8,1
156,greenblotch parrotfish,5,12,1
156,redband parrotfish,5,11,1
156,bluehead wrasse,5,13,1
156,blue chromis,5,9,1
156,striped parrotfish,5,22,1
156,masked goby,5,4,1
156,blue runner,5,25,1
156,creole wrasse,5,10,1.1
157,reef butterflyfish,1,7,1
157,princess parrotfish,1,22,1
157,bar jack,1,35,1
157,scrawled filefish,1,45,1
157,french angelfish,1,38,1
