session,prey_transect_id_prey,species,prey_tl
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,15
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,6
141,9807,white grunt,22
141,9807,white grunt,24
141,9807,white grunt,8
141,9807,butter hamlet,7
141,9807,roughhead blenny,3
141,9807,redband parrotfish,4
141,9807,redband parrotfish,5
141,9807,redband parrotfish,15
141,9807,stoplight parrotfish,4
141,9807,stoplight parrotfish,6
141,9807,striped parrotfish,4
141,9807,red grouper,29
141,9807,bluehead wrasse,3
141,9807,sharpnose puffer,6
142,9804,beaugregory,8
142,9804,beaugregory,8
142,9804,bicolor damselfish,4
142,9804,bicolor damselfish,4
142,9804,threespot damselfish,9
142,9804,threespot damselfish,9
142,9804,threespot damselfish,9
142,9804,bridled goby,4
142,9804,bridled goby,5
142,9804,goldspot goby,4
142,9804,neon goby,4
142,9804,bluestriped grunt,19
142,9804,white grunt,19
142,9804,white grunt,26
142,9804,white grunt,18
142,9804,white grunt,18
142,9804,white grunt,18
142,9804,white grunt,18
142,9804,white grunt,22
142,9804,white grunt,12
142,9804,white grunt,12
142,9804,white grunt,12
142,9804,white grunt,12
142,9804,white grunt,12
142,9804,white grunt,22
142,9804,white grunt,22
142,9804,white grunt,22
142,9804,white grunt,22
142,9804,white grunt,15
142,9804,white grunt,15
142,9804,white grunt,15
142,9804,white grunt,15
142,9804,butter hamlet,7
142,9804,redband parrotfish,14
142,9804,striped parrotfish,9
142,9804,yellowhead wrasse,8
142,9804,yellowhead wrasse,8
142,9804,slippery dick,8
142,9804,sharpnose puffer,5
142,9804,highhat,12
142,9805,bicolor damselfish,3
142,9805,bicolor damselfish,6
142,9805,white grunt,10
142,9805,white grunt,10
142,9805,black hamlet,9
142,9805,roughhead blenny,3
142,9805,roughhead blenny,3
142,9805,redband parrotfish,6
142,9805,redband parrotfish,4
142,9805,redband parrotfish,3
142,9805,redband parrotfish,10
142,9805,redband parrotfish,6
142,9805,redband parrotfish,8
142,9805,redband parrotfish,7
142,9805,redband parrotfish,7
142,9805,redband parrotfish,6
142,9805,redband parrotfish,5
142,9805,stoplight parrotfish,8
142,9805,stoplight parrotfish,4
142,9805,stoplight parrotfish,3
142,9805,stoplight parrotfish,6
142,9805,stoplight parrotfish,11
142,9805,stoplight parrotfish,6
142,9805,striped parrotfish,10
142,9805,striped parrotfish,10
142,9805,striped parrotfish,10
142,9805,striped parrotfish,10
142,9805,schoolmaster snapper,18
142,9805,yellowtail snapper,13
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,yellowtail snapper,12
142,9805,bluehead wrasse,10
142,9805,bluehead wrasse,10
142,9805,bluehead wrasse,10
142,9805,bluehead wrasse,9
142,9805,bluehead wrasse,10
143,9802,bicolor damselfish,4
143,9802,bicolor damselfish,7
143,9802,bicolor damselfish,7
143,9802,bicolor damselfish,5
143,9802,bicolor damselfish,5
143,9802,bicolor damselfish,4
143,9802,bicolor damselfish,4
143,9802,bicolor damselfish,4
143,9802,bicolor damselfish,2
143,9802,bicolor damselfish,5
143,9802,bicolor damselfish,5
143,9802,bicolor damselfish,3
143,9802,bicolor damselfish,3
143,9802,bicolor damselfish,4
143,9802,blue chromis,10
143,9802,bridled goby,4
143,9802,bridled goby,4
143,9802,bridled goby,4
143,9802,bridled goby,4
143,9802,bridled goby,5
143,9802,bridled goby,4
143,9802,bridled goby,7
143,9802,bridled goby,6
143,9802,colon goby,4
143,9802,colon goby,4
143,9802,colon goby,4
143,9802,colon goby,4
143,9802,goldspot goby,3
143,9802,goldspot goby,4
143,9802,goldspot goby,3
143,9802,goldspot goby,3
143,9802,goldspot goby,4
143,9802,goldspot goby,4
143,9802,goldspot goby,3
143,9802,goldspot goby,5
143,9802,goldspot goby,4
143,9802,goldspot goby,5
143,9802,pallid goby,2
143,9802,pallid goby,3
143,9802,masked goby,3
143,9802,masked goby,4
143,9802,white grunt,23
143,9802,white grunt,14
143,9802,roughhead blenny,3
143,9802,redband parrotfish,3
143,9802,redband parrotfish,7
143,9802,redband parrotfish,2
143,9802,redband parrotfish,3
143,9802,redband parrotfish,4
143,9802,redband parrotfish,16
143,9802,redband parrotfish,24
143,9802,harlequin bass,10
143,9802,harlequin bass,9
143,9802,graysby,21
143,9802,doctorfish,22
143,9802,ocean surgeonfish,17
143,9802,ocean surgeonfish,14
143,9802,bluehead wrasse,7
143,9802,bluehead wrasse,7
143,9802,bluehead wrasse,7
143,9802,bluehead wrasse,7
143,9802,bluehead wrasse,7
143,9802,bluehead wrasse,7
143,9802,bluehead wrasse,6
143,9802,bluehead wrasse,6
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,4
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,10
143,9802,bluehead wrasse,9
143,9802,bluehead wrasse,8
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,5
143,9802,bluehead wrasse,6
143,9802,bluehead wrasse,7
143,9802,bluehead wrasse,8
143,9802,bluehead wrasse,7
143,9802,bluehead wrasse,6
143,9802,bluehead wrasse,8
143,9802,bluehead wrasse,9
143,9802,bluehead wrasse,6
143,9802,yellowhead wrasse,7
143,9802,yellowhead wrasse,9
143,9802,yellowhead wrasse,8
143,9802,yellowhead wrasse,8
143,9802,yellowhead wrasse,8
143,9802,yellowhead wrasse,8
143,9802,yellowhead wrasse,5
143,9802,yellowhead wrasse,5
143,9802,clown wrasse,8
143,9802,slippery dick,8
143,9802,slippery dick,9
143,9802,highhat,11
143,9803,bicolor damselfish,4
143,9803,bicolor damselfish,3
143,9803,bicolor damselfish,6
143,9803,bicolor damselfish,7
143,9803,bicolor damselfish,6
143,9803,bicolor damselfish,4
143,9803,bicolor damselfish,4
143,9803,bicolor damselfish,3
143,9803,bicolor damselfish,4
143,9803,bicolor damselfish,4
143,9803,bicolor damselfish,4
143,9803,bicolor damselfish,4
143,9803,bicolor damselfish,5
143,9803,bicolor damselfish,6
143,9803,bicolor damselfish,6
143,9803,bicolor damselfish,3
143,9803,bicolor damselfish,3
143,9803,bicolor damselfish,4
143,9803,bicolor damselfish,5
143,9803,bicolor damselfish,4
143,9803,bridled goby,5
143,9803,bridled goby,5
143,9803,bridled goby,5
143,9803,bridled goby,2
143,9803,bridled goby,6
143,9803,colon goby,5
143,9803,colon goby,5
143,9803,colon goby,5
143,9803,colon goby,4
143,9803,colon goby,4
143,9803,goldspot goby,4
143,9803,goldspot goby,3
143,9803,goldspot goby,5
143,9803,goldspot goby,5
143,9803,goldspot goby,6
143,9803,goldspot goby,5
143,9803,goldspot goby,2
143,9803,goldspot goby,3
143,9803,goldspot goby,6
143,9803,goldspot goby,5
143,9803,goldspot goby,6
143,9803,roughhead blenny,2
143,9803,roughhead blenny,4
143,9803,greenblotch parrotfish,5
143,9803,redband parrotfish,25
143,9803,redband parrotfish,7
143,9803,redband parrotfish,3
143,9803,redband parrotfish,3
143,9803,redband parrotfish,3
143,9803,redband parrotfish,6
143,9803,redband parrotfish,6
143,9803,redband parrotfish,4
143,9803,redband parrotfish,3
143,9803,redband parrotfish,4
143,9803,redband parrotfish,3
143,9803,redband parrotfish,3
143,9803,redband parrotfish,4
143,9803,redband parrotfish,4
143,9803,redband parrotfish,4
143,9803,striped parrotfish,4
143,9803,harlequin bass,5
143,9803,harlequin bass,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,12
143,9803,bluehead wrasse,8
143,9803,bluehead wrasse,8
143,9803,bluehead wrasse,8
143,9803,bluehead wrasse,4
143,9803,bluehead wrasse,4
143,9803,bluehead wrasse,4
143,9803,bluehead wrasse,4
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,9
143,9803,bluehead wrasse,8
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,4
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,10
143,9803,bluehead wrasse,11
143,9803,bluehead wrasse,10
143,9803,bluehead wrasse,8
143,9803,bluehead wrasse,7
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,6
143,9803,bluehead wrasse,4
143,9803,bluehead wrasse,4
143,9803,yellowhead wrasse,6
143,9803,yellowhead wrasse,7
143,9803,yellowhead wrasse,7
143,9803,yellowhead wrasse,8
143,9803,yellowhead wrasse,8
143,9803,yellowhead wrasse,7
143,9803,yellowhead wrasse,8
143,9803,yellowhead wrasse,7
143,9803,yellowhead wrasse,8
143,9803,yellowhead wrasse,8
143,9803,yellowhead wrasse,7
143,9803,yellowhead wrasse,8
143,9803,clown wrasse,7
143,9803,clown wrasse,7
143,9803,slippery dick,7
143,9803,slippery dick,7
143,9803,sharpnose puffer,5
143,9803,sharpnose puffer,2
143,9497,beaugregory,8
143,9497,bicolor damselfish,2
143,9497,bicolor damselfish,3
143,9497,bicolor damselfish,3
143,9497,bicolor damselfish,3
143,9497,bicolor damselfish,3
143,9497,bicolor damselfish,4
143,9497,bicolor damselfish,4
143,9497,bicolor damselfish,4
143,9497,bicolor damselfish,4
143,9497,bicolor damselfish,4
143,9497,bicolor damselfish,4
143,9497,bicolor damselfish,4
143,9497,bicolor damselfish,4
143,9497,bicolor damselfish,5
143,9497,bicolor damselfish,5
143,9497,bicolor damselfish,5
143,9497,bicolor damselfish,5
143,9497,bicolor damselfish,5
143,9497,bicolor damselfish,5
143,9497,bicolor damselfish,5
143,9497,bicolor damselfish,6
143,9497,bicolor damselfish,6
143,9497,bicolor damselfish,6
143,9497,bicolor damselfish,6
143,9497,bicolor damselfish,6
143,9497,bicolor damselfish,6
143,9497,bicolor damselfish,7
143,9497,bluehead wrasse,2
143,9497,bluehead wrasse,2
143,9497,bluehead wrasse,2
143,9497,bluehead wrasse,3
143,9497,bluehead wrasse,4
143,9497,bluehead wrasse,4
143,9497,bluehead wrasse,4
143,9497,bluehead wrasse,4
143,9497,bluehead wrasse,4
143,9497,bluehead wrasse,5
143,9497,bluehead wrasse,5
143,9497,bluehead wrasse,5
143,9497,bluehead wrasse,5
143,9497,bluehead wrasse,5
143,9497,bluehead wrasse,6
143,9497,bluehead wrasse,6
143,9497,bluehead wrasse,6
143,9497,bluehead wrasse,6
143,9497,bluehead wrasse,6
143,9497,bluehead wrasse,7
143,9497,bluehead wrasse,7
143,9497,bluehead wrasse,8
143,9497,bluehead wrasse,8
143,9497,bluehead wrasse,8
143,9497,bluehead wrasse,8
143,9497,bluehead wrasse,8
143,9497,bluehead wrasse,8
143,9497,bluehead wrasse,9
143,9497,bluehead wrasse,9
143,9497,bluehead wrasse,9
143,9497,bluehead wrasse,9
143,9497,bluehead wrasse,9
143,9497,bluehead wrasse,9
143,9497,bluehead wrasse,9
143,9497,bluehead wrasse,10
143,9497,bridled goby,4
143,9497,bridled goby,6
143,9497,butter hamlet,6
143,9497,clown wrasse,4
143,9497,clown wrasse,6
143,9497,clown wrasse,12
143,9497,colon goby,3
143,9497,colon goby,3
143,9497,colon goby,3
143,9497,colon goby,4
143,9497,colon goby,4
143,9497,colon goby,4
143,9497,colon goby,5
143,9497,colon goby,5
143,9497,colon goby,5
143,9497,colon goby,5
143,9497,foureye butterflyfish,7
143,9497,foureye butterflyfish,9
143,9497,goldspot goby,2
143,9497,goldspot goby,3
143,9497,goldspot goby,3
143,9497,goldspot goby,3
143,9497,goldspot goby,3
143,9497,goldspot goby,4
143,9497,goldspot goby,4
143,9497,goldspot goby,4
143,9497,goldspot goby,4
143,9497,goldspot goby,5
143,9497,goldspot goby,5
143,9497,goldspot goby,5
143,9497,goldspot goby,5
143,9497,harlequin bass,5
143,9497,masked goby,3
143,9497,masked goby,3
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,4
143,9497,masked goby,5
143,9497,ocean surgeonfish,18
143,9497,ocean surgeonfish,20
143,9497,ocean surgeonfish,20
143,9497,pallid goby,4
143,9497,redband parrotfish,3
143,9497,redband parrotfish,4
143,9497,redband parrotfish,4
143,9497,redband parrotfish,4
143,9497,redband parrotfish,5
143,9497,redband parrotfish,5
143,9497,redband parrotfish,6
143,9497,redband parrotfish,6
143,9497,redband parrotfish,7
143,9497,redband parrotfish,14
143,9497,redband parrotfish,20
143,9497,rock beauty,4
143,9497,scrawled filefish,35
143,9497,spotfin butterflyfish,11
143,9497,spotfin butterflyfish,12
143,9497,stoplight parrotfish,3
143,9497,stoplight parrotfish,30
143,9497,striped parrotfish,3
143,9497,yellowhead wrasse,2
143,9497,yellowhead wrasse,2
143,9497,yellowhead wrasse,7
143,9497,yellowhead wrasse,8
143,9497,yellowhead wrasse,9
143,9497,yellowhead wrasse,13
143,9497,yellowtail snapper,16
143,9497,yellowtail snapper,20
143,9498,banded butterflyfish,11
143,9498,banded butterflyfish,12
143,9498,bar jack,24
143,9498,bar jack,24
143,9498,bar jack,25
143,9498,bar jack,25
143,9498,bar jack,26
143,9498,bar jack,26
143,9498,bicolor damselfish,2
143,9498,bicolor damselfish,3
143,9498,bicolor damselfish,3
143,9498,bicolor damselfish,4
143,9498,bicolor damselfish,4
143,9498,bicolor damselfish,5
143,9498,bicolor damselfish,5
143,9498,bicolor damselfish,5
143,9498,bicolor damselfish,5
143,9498,bicolor damselfish,5
143,9498,bicolor damselfish,6
143,9498,bicolor damselfish,6
143,9498,bicolor damselfish,6
143,9498,bicolor damselfish,6
143,9498,bicolor damselfish,6
143,9498,bicolor damselfish,7
143,9498,bicolor damselfish,7
143,9498,bicolor damselfish,7
143,9498,bicolor damselfish,7
143,9498,bicolor damselfish,7
143,9498,bicolor damselfish,7
143,9498,blue chromis,6
143,9498,bluehead wrasse,2
143,9498,bluehead wrasse,2
143,9498,bluehead wrasse,2
143,9498,bluehead wrasse,2
143,9498,bluehead wrasse,3
143,9498,bluehead wrasse,3
143,9498,bluehead wrasse,3
143,9498,bluehead wrasse,3
143,9498,bluehead wrasse,4
143,9498,bluehead wrasse,4
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,5
143,9498,bluehead wrasse,6
143,9498,bluehead wrasse,6
143,9498,bluehead wrasse,7
143,9498,bluehead wrasse,7
143,9498,bluehead wrasse,7
143,9498,bluehead wrasse,7
143,9498,bluehead wrasse,7
143,9498,bluehead wrasse,7
143,9498,bluehead wrasse,8
143,9498,bluehead wrasse,8
143,9498,bluehead wrasse,9
143,9498,clown wrasse,12
143,9498,colon goby,4
143,9498,colon goby,4
143,9498,colon goby,5
143,9498,creole wrasse,7
143,9498,creole wrasse,7
143,9498,creole wrasse,7
143,9498,creole wrasse,8
143,9498,creole wrasse,8
143,9498,creole wrasse,8
143,9498,goldspot goby,4
143,9498,goldspot goby,5
143,9498,goldspot goby,5
143,9498,goldspot goby,5
143,9498,graysby,12
143,9498,graysby,16
143,9498,graysby,18
143,9498,graysby,21
143,9498,greenblotch parrotfish,5
143,9498,longfin damselfish,9
143,9498,longfin damselfish,10
143,9498,longfin damselfish,10
143,9498,longfin damselfish,10
143,9498,longfin damselfish,10
143,9498,longfin damselfish,11
143,9498,redband parrotfish,2
143,9498,redband parrotfish,2
143,9498,redband parrotfish,2
143,9498,redband parrotfish,3
143,9498,redband parrotfish,3
143,9498,redband parrotfish,3
143,9498,redband parrotfish,3
143,9498,redband parrotfish,4
143,9498,redband parrotfish,4
143,9498,redband parrotfish,4
143,9498,redband parrotfish,5
143,9498,redband parrotfish,5
143,9498,redband parrotfish,5
143,9498,redband parrotfish,5
143,9498,redband parrotfish,5
143,9498,redband parrotfish,5
143,9498,redband parrotfish,5
143,9498,redband parrotfish,5
143,9498,redband parrotfish,6
143,9498,redband parrotfish,6
143,9498,redband parrotfish,6
143,9498,redband parrotfish,7
143,9498,redband parrotfish,24
143,9498,roughhead blenny,3
143,9498,roughhead blenny,3
143,9498,roughhead blenny,3
143,9498,sergeant major,14
143,9498,sharpnose puffer,3
143,9498,sharpnose puffer,4
143,9498,sharpnose puffer,4
143,9498,sharpnose puffer,4
143,9498,sharpnose puffer,5
143,9498,spanish hogfish,20
143,9498,stoplight parrotfish,4
143,9498,stoplight parrotfish,6
143,9498,stoplight parrotfish,25
143,9498,striped parrotfish,5
143,9498,trumpetfish,50
143,9498,yellowtail damselfish,12
144,9800,gray angelfish,35
144,9800,gray angelfish,35
144,9800,bicolor damselfish,6
144,9800,bicolor damselfish,7
144,9800,bicolor damselfish,2
144,9800,bicolor damselfish,6
144,9800,bicolor damselfish,5
144,9800,bicolor damselfish,4
144,9800,bicolor damselfish,8
144,9800,bicolor damselfish,6
144,9800,longfin damselfish,9
144,9800,bridled goby,5
144,9800,bridled goby,6
144,9800,bridled goby,5
144,9800,bridled goby,7
144,9800,bridled goby,5
144,9800,bridled goby,3
144,9800,bridled goby,5
144,9800,bridled goby,6
144,9800,goldspot goby,4
144,9800,goldspot goby,4
144,9800,goldspot goby,5
144,9800,pallid goby,4
144,9800,pallid goby,5
144,9800,pallid goby,3
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,5
144,9800,masked goby,5
144,9800,masked goby,5
144,9800,masked goby,5
144,9800,masked goby,5
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,3
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,masked goby,4
144,9800,butter hamlet,11
144,9800,greenblotch parrotfish,6
144,9800,doctorfish,18
144,9800,bluehead wrasse,8
144,9800,bluehead wrasse,8
144,9800,bluehead wrasse,8
144,9800,bluehead wrasse,8
144,9800,bluehead wrasse,8
144,9800,bluehead wrasse,6
144,9800,bluehead wrasse,9
144,9800,bluehead wrasse,6
144,9800,bluehead wrasse,6
144,9800,bluehead wrasse,7
144,9800,bluehead wrasse,6
144,9800,bluehead wrasse,9
144,9800,bluehead wrasse,9
144,9800,bluehead wrasse,9
144,9800,bluehead wrasse,9
144,9800,bluehead wrasse,8
144,9800,bluehead wrasse,11
144,9800,bluehead wrasse,12
144,9800,bluehead wrasse,10
144,9800,yellowhead wrasse,6
144,9800,yellowhead wrasse,4
144,9800,sharpnose puffer,5
144,9800,sharpnose puffer,5
144,9800,sharpnose puffer,5
144,9801,beaugregory,7
144,9801,bicolor damselfish,5
144,9801,bicolor damselfish,5
144,9801,bicolor damselfish,3
144,9801,bicolor damselfish,6
144,9801,bicolor damselfish,5
144,9801,bicolor damselfish,5
144,9801,bicolor damselfish,5
144,9801,bicolor damselfish,4
144,9801,bicolor damselfish,4
144,9801,bicolor damselfish,6
144,9801,bicolor damselfish,6
144,9801,bridled goby,6
144,9801,bridled goby,5
144,9801,bridled goby,5
144,9801,bridled goby,6
144,9801,bridled goby,5
144,9801,bridled goby,4
144,9801,bridled goby,5
144,9801,bridled goby,3
144,9801,goldspot goby,4
144,9801,goldspot goby,5
144,9801,pallid goby,4
144,9801,pallid goby,3
144,9801,pallid goby,5
144,9801,pallid goby,2
144,9801,pallid goby,2
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,3
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,4
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
144,9801,masked goby,2
