order,family,binomial,common_name,cryptic and schooling?,lifestage,predator_presence,present in predator surveys?,Vulnerability rank,Red List category,recorded in diet?,Endemic?,Range size (sq. km),depth upper,depth lower,depth range,cleaner score,nocturnal,structured habitat?,structured habitat (binary)?,soft bottom?,soft bottom (binary)?,bottom score,estuary?,estuary (binary)?,seagrass?,seagrass (binary)?,mangrove?,mangrove (binary)?,rocky reef?,rocky reef (binary)?,coral?,coral (binary)?,total habitats,habitat score,position,position score,behavior,max_length,measure,length_source,length score,ratio (REEF interns1),ratio (REEF interns2),ratio (REEF interns3),ratio avg (REEF),ratio (Green and Cote 2014),ratio adult (Christi),final ratio,ratio score,cryptic_colouration,cryptic colouration notes,conspicuous_colouration,conspicuous colouration notes,colouration reference,colouration_count,colouration_cont,colouration_cat1,colouration_cat2,colouration_cat3,cryptic_behaviour,cryptic behaviour notes,conspicuous behaviour,conspicuous behaviour notes,behaviour reference,florida commonality,commonality reference,FishBase Probability of Occurrence in Florida Region,Notes on FishBase Probability of Occurrence,trophic_position,Trophic Position Source,Trophic Level,Trophic Notes (from FishBase),shape
Perciformes,Acanthuridae,Acanthurus chirurgus,doctorfish,0,adult,0,0,3,LC,yes,no,3848464,2,65,63,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,35,TL,,0,discard,discard,discard,discard,2.3,2.5,2.4,0,1,ability to change colour,0,,Florida Museum (https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/acanthurus-chirurgus/),1,-1,cryptic,neutral,neutral,0,,1,diurnal; aggregates; in water column,FishBase,abundant to common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=209&menuentry=soorten),0.8-1,abundant throughout,herbivore,,2.1,graze algae as well as pick molted skin and parasites from green turtles,compressiform
Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,0,adult,0,0,3,LC,yes,no,3502415,1,60,59,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,36,TL,,0,discard,discard,discard,discard,2,2.5,2.3,0,1,ability to change colour,0,,Animal Diversity Web (https://animaldiversity.org/accounts/Acanthurus_coeruleus/),1,-1,cryptic,colourful,colourful,0,,1,Diurnal and in water column; schooling,FishBase,abundance to common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=208&menuentry=soorten),0.6-1,common throughout; slightly less at tip,herbivore,,2,Feeds entirely on algae,compressiform
Perciformes,Acanthuridae,Acanthurus coeruleus,blue tang,0,juvenile,0,0,3,LC,yes,no,3502415,1,60,59,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,NA,,,0,discard,discard,discard,discard,2,2.5,2.3,0,0,,1,yellow,Animal Diversity Web (https://animaldiversity.org/accounts/Acanthurus_coeruleus/),1,1,conspicuous,colourful,colourful,0,,1,Diurnal and in water column; schooling,FishBase,abundance to common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=208&menuentry=soorten),0.6-1,common throughout; slightly less at tip,herbivore,,2,Feeds entirely on algae,compressiform
Perciformes,Acanthuridae,Acanthurus tractus,ocean surgeonfish,0,adult,0,0,3,LC,yes,yes,2855506,2,40,38,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,35,TL,,0,discard,discard,discard,discard,2.7,3.1,2.9,0,0,,0,,FishBase,0,0,none,neutral,neutral,0,,1,in water column; diurnal; shoaling,FishBase,common to occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=207&menuentry=soorten),NA,florida is not shown on map,herbivore,,2,feeding primarily on benthic algae and occasionally grazing on seagrass beds.,compressiform
Perciformes,Apogonidae,Apogon binotatus,barred cardinalfish,0,adult,0,0,6,LC,yes,yes,2509466,0,27,27,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,15,TL,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3595),1,2.4,2.5,2.8,2.6,5.3,3.6,3.2,1,0,,1,barred,FishBase,1,1,conspicuous,camouflage,neutral,1,hidden in cracks and crevices during day,0,,FishBase,"""common southeastern Florida""",Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=264),0-1,more common near tip,planktivore,Antigua Marine Life (https://www.antiguamarinelife.info/Barred_Cardinalfish.html),3.4,,elongated
Perciformes,Apogonidae,Apogon lachneri,whitestar cardinalfish,0,adult,0,0,6,LC,yes,yes,2190142,2,70,68,1,1,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,6.5,TL,,1,3.3,2.2,2.5,2.7,NA,3.6,3.1,1,0,,1,black saddle and large black eye,FishBase,1,1,conspicuous,camouflage,neutral,1,"""Normally hide, may peer out from holes.""",0,,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=265&menuentry=soorten),occasional to uncommon,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=265&menuentry=soorten),0-1,more common at tip,planktivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3598),3.4,BASED ON CLOSEST RELATIVES,elongated
Perciformes,Blenniidae,Hypleurochilus bermudensis,barred blenny,0,adult,0,0,5,LC,no,yes,643239,1,27,26,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,10,TL,FishBase,1,4.4,4.8,NA,4.6,NA,5.1,4.8,1,0,,1,barred,FishBase,1,1,conspicuous,camouflage,camouflage,1,inhabit rocky bottom,0,,FishBase,NA,,0-1,more common near tip and to West of tip,omnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4066),3.2,TROPHIC LEVEL BASED ON CLOSEST RELATIVES,elongated
Perciformes,Blenniidae,Parablennius marmoreus,seaweed blenny,0,adult,0,0,5,LC,yes,no,3889656,0,10,10,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,no,0,1,1,demersal,1,solitary,8.5,TL,,1,3.5,6.2,4,4.6,NA,5.5,5,1,1,camoflauging pattern and ability to change colour,0,,Florida Museum (https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/parablennius-marmoreus/),1,-1,cryptic,camouflage,camouflage,1,benthic,0,,FishBase,NA,,0-1,abundant nearshore,omnivore,,2.5,"Omnivorous, but feed mostly on algae",elongated
Perciformes,Callionymidae,Callionymus bairdi,lancer dragonet,0,adult,0,0,5,LC,no,no,2925129,1,91,90,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,11.4,TL,,1,7.9,9.1,7.7,8.2,9.3,7.4,8.3,1,1,camoflauged,0,,FishBase,1,-1,cryptic,camouflage,camouflage,1,sits on bottom,0,,FishBase,NA,,0.8-1,abundant throughout ,carnivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4093),3.2,TROPHIC LEVEL BASED ON CLOSEST RELATIVES,elongated
Perciformes,Carangidae,Caranx bartholomaei,yellow jack,0,adult,0,0,4,LC,no,no,4403095,0,70,70,1,0,yes,1,yes,1,2,yes,1,yes,1,yes,1,yes,1,yes,1,5,1,demersal,1,solitary,89.5,TL,,0,3.8,3.7,3.8,3.8,NA,3.7,3.7,1,0,,0,has silvering but yellow fins,FishBase,0,0,none,colourful,colourful,0,,1,in water column  ,FishBase,NA,,0.8-1,abundant throughout,carnivore,,4.5,They feed on small fishes ,fusiform
Perciformes,Carangidae,Caranx crysos,blue runner,0,adult,0,0,4,LC,no,no,8021858,0,100,100,1,0,yes,1,yes,1,2,yes,1,yes,1,no,0,yes,1,yes,1,4,1,demersal,1,schooling,70,TL,FishBase,0,3.5,3.6,3.3,3.5,NA,3.5,3.5,1,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,in water column; schooling,FishBase,"""uncommon around reefs""",Marine Species Identification Portal (http://species-identification.org/species.php?species_group=fnam&id=1774&menuentry=soorten),0.6-1,common throughout,carnivore,,4.1,"Adults feed on fishes, shrimps, and other invertebrates",fusiform
Perciformes,Carangidae,Caranx ruber,bar jack,0,adult,0,1,4,LC,no,no,3174459,1,35,34,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,schooling,50,TL,,0,3.7,4,3.7,3.8,3.7,4,3.8,1,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,easily approached and schooling,FishBase,"""Common in the Bahamas and Caribbean; also found in South Florida.""",Sport Fish of Florida (https://www.theoutdoorlodge.com/fishing/species/jacks.html#3),0.8-1,common throughout,carnivore,,4.3,"Feeds on fishes, shrimps and other invertebrates",fusiform
Perciformes,Carangidae,Decapterus macarellus,mackerel scad,0,adult,0,0,0,LC,no,no,28936822,1,200,199,1,0,no,0,,,,,,,,,,,,no,0,0,,pelagic,0,schooling,32,TL,,0,5.8,5.5,5.4,5.6,4.9,6.2,5.6,0,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,schooling in water column,FishBase,,,,,planktivore,,4,They feed mainly on zooplankton,fusiform
Perciformes,Carangidae,Decapterus punctatus,round scad,0,adult,0,0,3,LC,yes,no,5508243,1,110,109,1,0,no,0,yes,1,1,no,0,no,0,no,0,no,0,no,0,0,1,demersal,1,schooling,21.3,TL,,0,5.8,5.3,5.7,5.6,NA,5.5,5.6,1,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,in water column near bottom in groups,FishBase,NA,,0.8-1,abundant throughout,planktivore,FishBase,4.4,"feed on planktonic invertebrates, primarily copepods, but also on gastropod larvae, ostracods and pteropods",fusiform
Perciformes,Carangidae,Seriola dumerili,amberjack,0,adult,1,0,4,LC,no,no,30727064,1,360,359,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,188,TL,,0,4.1,4.3,4.8,4.4,NA,4,4.2,1,1,sivering  ,0,,FishBase,,-1,cryptic,silvering,silvering,0,,1,in water column,FishBase,NA,,0.8-1,common throughout,carnivore,,4.5,"They feed primarily on fishes such as the bigeye scad, also on invertebrates",fusiform
Perciformes,Carangidae,Trachinotus carolinus,florida pompano,0,adult,0,0,2,LC,no,no,3400066,1,70,69,1,0,no,0,yes,1,1,yes,1,no,0,no,0,no,0,no,0,1,0,demersal,1,schooling,64,TL,,0,2.3,2.3,3.1,2.5,NA,3.1,2.8,0,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,0,,1,schooling in water column,FishBase,NA,,0.8-1,abundant throughout,invertivore,,3.5,"They feed on mollusks, crustaceans and other invertebrates and small fish.",compressiform
Perciformes,Carangidae,Trachinotus falcatus,permit,0,adult,0,0,3,LC,no,no,4086138,1,36,35,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,149,TL,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3659),0,1.9,1.9,1.9,1.9,NA,2.6,2.3,0,1,silvering,0,,FishBase,1,-1,cryptic,silvering,silvering,1,frequently in channels or holes,1,in water column; often over reef; sometimes shoaling,FishBase ,NA,,0.8-1,abundant throughout ,invertivore,,4,"Adults feed on mollusks, crabs, shrimps, and small fishes; juveniles on benthic invertebrates.",compressiform
Perciformes,Chaenopsidae,Acanthemblemaria aspera,roughhead blenny,0,adult,0,0,4,LC,yes,yes,2419081,1,18,17,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,benthic,0,solitary,4,TL,,1,4.5,4.3,4.7,4.5,7.8,8.8,7,1,1,camoflauged,0,"different colour morphs, some yellow or black ",FishBase,1,-1,cryptic,camouflage,camouflage,1,"""Almost always found in holes of corals.""",0,,FishBase,NA,,NA,not shown near Florida on map,invertivore,,3.1,Main diet of benthic harpacticoid copepods,elongated
Perciformes,Chaenopsidae,Acanthemblemaria chaplini,papillose blenny,0,adult,0,0,5,LC,no,yes,779565,2,12,10,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,4.5,TL,,1,5.3,NA,NA,5.3,NA,8.2,6.8,1,1,camoflauged,0,,Google Images,1,-1,cryptic,camouflage,camouflage,1,lives in holes,0,,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3992),occaional,Blue Heron Ridge Dive Club (https://www.facebook.com/BlueHeronBridgeDiveClub/photos/the-papillose-blenny-or-acanthemblemaria-chaplini-is-tan-to-yellow-or-orange-wit/10158306716338048/); can't locate better source,0-1,more common at tip; few areas of high probability,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3992),3.3,TROPHIC LEVEL BASED ON CLOSEST RELATIVES,elongated
Perciformes,Chaenopsidae,Emblemaria pandionis,sailfin blenny ,0,adult,0,0,4,LC,yes,yes,2510020,1,30,29,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,benthic,0,solitary,7,TL,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4017),1,discard,discard,discard,NA,7.2,6.6,6.9,1,0,,0,,FishBase,0,0,none,camouflage,camouflage,1,in holes,0,,FishBase,NA,,0-1,more common near tip,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4017),3.4,,elongated
Perciformes,Chaenopsidae,Emblemariopsis bahamensis,blackhead blenny,0,adult,0,0,5,LC,no,yes,1993424,1,20,19,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,2.5,TL,,1,4.1,4.1,8.7,5.6,7,8.5,7.1,1,1,translucent,0,,FishBase,1,-1,cryptic,camouflage,camouflage,0,,NA,,,NA,,0-1,more common near tip,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4021),3.1,TROPHIC LEVEL BASED ON CLOSEST RELATIVES,elongated
Perciformes,Chaenopsidae,Emblemariopsis diaphana,glass blenny,0,adult,0,0,5,LC,no,yes,188972,0,17,17,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,4,TL,,1,discard,discard,discard,NA,NA,7.8,7.8,1,1,transluscent ,0,,Smithsonian Tropical Research Insitute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4023),1,-1,cryptic,camouflage,camouflage,1,"""Inhabits globose coral heads of Montastrea sp. and sea fans""",0,,FishBase,NA,,NA,no map provided,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/4023),3.3,TROPHIC LEVEL BASED ON CLOSEST RELATIVES,elongated
Perciformes,Chaenopsidae,Hemiemblemaria simulus,wrasse blenny,0,adult,0,0,5,LC,no,yes,878161,3,20,17,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,10,TL,,1,discard,discard,discard,NA,NA,7.1,7.1,1,0,,1,black stripe,FishBase,1,1,conspicuous,colourful,colourful,1,"""Lives in holes in coral and rock, but leaves burrow to swim freely in water column.""",1,"""Lives in holes in coral and rock, but leaves burrow to swim freely in water column.""",FishBase,NA,,NA,no map provide,carnivore,,3.7,small fish and shrimps on which it preys. Also feeds on copepods,elongated
Perciformes,Chaetodontidae,Chaetodon capistratus,foureye butterflyfish,0,adult,0,0,4,LC,yes,yes,2704532,2,20,18,1,0,yes,1,yes,1,2,no,0,yes,1,yes,1,yes,1,yes,1,4,1,demersal,1,solitary,7.5,TL,,1,1.5,1.4,1.4,1.4,1.9,1.8,1.7,0,0,,1,eyespot,FishBase,1,1,conspicuous,colourful and patterned,colourful,1,solitary,1,easily approachable,FishBase,common to occasional ,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=204&menuentry=soorten),0.01-1,more common near tip,invertivore,,3.4,"Feed mainly on zoantharians, polychaete worms, gorgonians and tunicates",compressiform
Perciformes,Chaetodontidae,Chaetodon ocellatus,spotfin butterflyfish,0,adult,0,0,3,LC,yes,no,4059479,1,30,29,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,20,TL,,0,1.4,1.4,1.5,1.4,2.1,1.8,1.8,0,0,,1,black bar and yellow fins,FishBase,1,1,conspicuous,colourful and patterned,colourful,0,,1,in water column,FishBase,common to occasional,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=205&menuentry=soorten),0.8-1,abundant throughout,invertivore,Smithsonian Tropical Research Institute (https://biogeodb.stri.si.edu/caribbean/en/thefishes/species/3843),3.7,,compressiform
Perciformes,Chaetodontidae,Chaetodon sedentarius,reef butterflyfish,0,adult,0,0,4,LC,no,no,3890133,5,92,87,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,15,TL,,1,1.7,1.8,1.7,1.7,NA,1.9,1.8,0,0,,1,several black bars and yellow,FishBase,1,1,conspicuous,colourful and patterned,colourful,1,hides on reef,0,,Florida Museum (https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/chaetodon-sedentarius/),NA,,0.8-1,abundant throughout,invertivore,,3.9,"Prefer to feed on eggs of Abudefduf saxatilis (Ref. 9626) but also on polychaete worms, shrimps, amphipods and hydroids.",compressiform
Perciformes,Chaetodontidae,Chaetodon striatus,banded butterflyfish,0,adult,0,0,3,LC,no,no,3896132,2,55,53,1,0,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,shoaling,16,TL,,0,1.6,1.5,1.5,1.5,1.9,1.8,1.7,0,0,,1,black bands,Florida Museum (https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/chaetodon-striatus/),1,1,conspicuous,colourful and patterned,colourful,1,seeks shelter at night ,0,,Florida Museum (https://www.floridamuseum.ufl.edu/discover-fish/species-profiles/chaetodon-striatus/),common to occasional ,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=203),0.8-1,common throughout,invertivore,,3.5,"Feed on polychaete worms, coral polyps, crustaceans and mollusk eggs.",compressiform
Perciformes,Chaetodontidae,Prognathodes aculeatus,longsnout butterflyfish,0,adult,0,0,4,LC,yes,yes,2520569,1,100,99,1,0,yes,1,no,0,1,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,solitary,10,TL,,1,2,1.5,1.7,1.7,2.1,1.9,1.9,0,0,,1,yellow,FishBase,1,1,conspicuous,colourful,colourful,1,"""Seek refuge when approached""",0,,FishBase,NA,,0-1,more common near tip,invertivore,,3.4,Feed on small invertebrates. ,compressiform
Perciformes,Ephippidae,Chaetodipterus faber,atlantic spadefish,0,adult,0,1,3,LC,no,no,4216058,2,40,38,1,0,yes,1,yes,1,2,no,0,no,0,no,0,yes,1,yes,1,2,1,demersal,1,schooling,91,TL,,0,1.2,1,1.1,1.1,NA,1.6,1.4,0,0,,1,black bands,FishBase,,1,conspicuous,silvering,silvering,1,juveniles swim at angle and resemble floating leaves --> cryptic ,0,adults school and circle divers - conspicuous,FishBase,commonly off the coast of Florida,MarineBio Conservation Society (https://marinebio.org/species/atlantic-spadefishes/chaetodipterus-faber/),0.8-1,common throughout,invertivore,,4.5,"Feed on benthic invertebrates like crustaceans, mollusks, annelids, cnidarians as well as on plankton",compressiform
Perciformes,Epinephelidae,Cephalopholis cruentata,graysby,0,adult,1,0,5,LC,yes,yes,2777097,0,170,170,1,1,yes,1,yes,1,2,no,0,yes,1,no,0,yes,1,yes,1,3,1,demersal,1,solitary,33,TL,,0,2.8,3.2,4.2,3.4,4.6,3.4,3.8,1,0,,1,spots,FishBase,1,1,conspicuous,neutral pattern,neutral,1,"""Solitary (Ref. 26340) and secretive, they usually stay near hiding places during the day.""",0,,FishBase,common,Marine Species Identification Portal (http://species-identification.org/species.php?species_group=caribbean_diving_guide&id=232&menuentry=soorten),0.01-1,more common near tip,carnivore,,4.3,"Nocturnal predators, adults feed mainly on fishes, with preference on Chromis multilineata, while juveniles feed on shrimps. ",fusiform
